,Target_Power,Obs_GHI,Obs_Temp,Obs_Wind,NWP_GHI,NWP_DNI,NWP_DHI,NWP_Temp,NWP_Wind,NWP_Humidity,NWP_Cloud,NWP_Precip
2019-01-01 00:00:00-08:00,0.0,0.0,4.3500000000000005,3.2000000000000006,0.0,0.0,0.0,3.4,12.6,52.0,0.0,0.0
2019-01-01 00:15:00-08:00,0.0,0.0,4.283333333333333,3.2000000000000006,0.0,0.0,0.0,3.594806805636592,14.45996012000898,50.184647328032824,0.0,0.0
2019-01-01 00:30:00-08:00,0.0,0.0,4.2,3.2000000000000006,0.0,0.0,0.0,3.6154934921561046,15.36316870858169,49.407454089180376,0.0,0.0
2019-01-01 00:45:00-08:00,0.0,0.0,4.1000000000000005,3.2000000000000006,0.0,0.0,0.0,3.503433432597566,15.509792942863557,49.42653380573774,0.0,0.0
2019-01-01 01:00:00-08:00,0.0,0.0,4.0,3.2000000000000006,0.0,0.0,0.0,3.3,15.1,50.0,0.0,0.0
2019-01-01 01:15:00-08:00,0.0,0.0,4.0,3.2000000000000006,0.0,0.0,0.0,3.046566567402435,14.333957057136443,50.885966194262274,0.0,0.0
2019-01-01 01:30:00-08:00,0.0,0.0,4.0,3.2000000000000006,0.0,0.0,0.0,2.784506507843896,13.411831291418315,51.84254591081964,0.0,0.0
2019-01-01 01:45:00-08:00,0.0,0.0,3.9166666666666665,3.2000000000000006,0.0,0.0,0.0,2.555193194363409,12.533789879991023,52.62785267196718,0.0,0.0
2019-01-01 02:00:00-08:00,0.0,0.0,3.9,3.2000000000000006,0.0,0.0,0.0,2.4,11.9,53.0,0.0,0.0
2019-01-01 02:15:00-08:00,0.0,0.0,3.9,3.216666666666667,0.0,0.0,0.0,2.345489424753669,11.646399151445246,52.80273789491809,0.0,0.0
2019-01-01 02:30:00-08:00,0.0,0.0,3.85,3.3000000000000003,0.0,0.0,0.0,2.3589804764683118,11.65200612574507,52.22236226754109,0.0,0.0
2019-01-01 02:45:00-08:00,0.0,0.0,3.7999999999999994,3.3000000000000003,0.0,0.0,0.0,2.392981289948799,11.731610037172358,51.53080550639354,0.0,0.0
2019-01-01 03:00:00-08:00,0.0,0.0,3.7999999999999994,3.3000000000000003,0.0,0.0,0.0,2.4,11.7,51.0,0.0,0.0
2019-01-01 03:15:00-08:00,0.0,0.0,3.716666666666667,3.216666666666667,0.0,0.0,0.0,2.3433507335828896,11.419508837082574,50.840582226065386,0.0,0.0
2019-01-01 03:30:00-08:00,0.0,0.0,3.65,3.2000000000000006,0.0,0.0,0.0,2.2295715862828565,10.942644205601413,51.01800501901602,0.0,0.0
2019-01-01 03:45:00-08:00,0.0,0.0,3.516666666666667,3.116666666666667,0.0,0.0,0.0,2.0760066458413955,10.36945747131955,51.436425302458666,0.0,0.0
2019-01-01 04:00:00-08:00,0.0,0.0,3.4500000000000006,3.1,0.0,0.0,0.0,1.9,9.8,52.0,0.0,0.0
2019-01-01 04:15:00-08:00,0.0,0.0,3.383333333333334,3.016666666666667,0.0,0.0,0.0,1.718607640914775,9.294315500224464,52.58493320082041,0.0,0.0
2019-01-01 04:30:00-08:00,0.0,0.0,3.25,2.9500000000000006,0.0,0.0,0.0,1.5477331784002635,8.75241705184928,52.955617656394814,0.0,0.0
2019-01-01 04:45:00-08:00,0.0,0.0,3.1833333333333336,2.883333333333334,0.0,0.0,0.0,1.4029921266856207,8.034310077549456,52.84849328377183,0.0,0.0
2019-01-01 05:00:00-08:00,0.0,0.0,3.0500000000000003,2.8000000000000003,0.0,0.0,0.0,1.3,7.0,52.0,0.0,0.0
2019-01-01 05:15:00-08:00,0.0,0.0,2.983333333333333,2.7833333333333337,0.0,0.0,0.0,1.2478437027580123,5.582916662019575,50.27280997065301,0.0,0.0
2019-01-01 05:30:00-08:00,0.0,0.0,2.9000000000000004,2.7000000000000006,0.0,0.0,0.0,1.2294957001160898,4.01018758700147,48.034524355404685,0.0,0.0
2019-01-01 05:45:00-08:00,0.0,0.0,2.816666666666667,2.7000000000000006,0.0,0.0,0.0,1.221399847416123,2.58236471848263,45.77897656245405,0.0,0.0
2019-01-01 06:00:00-08:00,0.0,0.0,2.8000000000000003,2.6500000000000004,0.0,0.0,0.0,1.2,1.6,44.0,0.0,0.0
2019-01-01 06:15:00-08:00,0.0,0.0,2.8000000000000003,2.6,0.0,0.0,0.0,1.1603300480531773,1.2787053516972366,43.073826916567626,0.0,0.0
2019-01-01 06:30:00-08:00,0.0,0.0,2.8000000000000003,2.6,0.0,0.0,0.0,1.1717840211353772,1.4943326001448405,42.906284921986405,0.0,0.0
2019-01-01 06:45:00-08:00,0.0,0.0,2.8000000000000003,2.5166666666666666,0.0,0.0,0.0,1.3223459836498885,2.037793548520024,43.285600466412006,0.0,0.0
2019-01-01 07:00:00-08:00,0.0,0.0,3.0,2.5500000000000003,0.0,0.0,0.0,1.7,2.7,44.0,0.0,0.0
2019-01-01 07:15:00-08:00,0.0,0.0,3.6,2.6166666666666667,0.0,0.0,0.0,2.367086105029279,3.2913244311914798,44.82250736307653,2.0,0.0
